year,month,day,hour,wspd,forecast
2009,9,24,17,18.78300095,13.59471392
2009,9,24,18,20.31699944,15.79996688
2009,9,24,19,22.11700058,17.31297319
2009,9,24,20,22.81699944,18.31576151
2009,9,24,21,23.25,18.34045555
2009,9,24,22,23.46699905,18.33588108
2009,9,24,23,22.83300018,18.33285641
2009,9,25,0,19.79999924,18.33285641
2009,9,25,1,15.43299961,18.33285641
2009,9,25,2,14.38300037,18.01418583
2009,9,25,3,13.71700001,14.59210167
2009,9,25,4,12.05000019,12.95372505
2009,9,25,5,11.03299999,12.87728822
2009,9,25,6,10.58300018,11.4185931
2009,9,25,7,10.2670002,10.07733825
2009,9,25,8,8.149999619,9.884978984
2009,9,25,9,8.833000183,9.291684518
2009,9,25,10,9.866999626,7.497870818
2009,9,25,11,10.68299961,8.144813141
2009,9,25,12,10.46700001,9.111073211
2009,9,25,13,13.31700039,9.910391191
2009,9,25,14,17.16699982,9.753107602
2009,9,25,15,20.31699944,12.4740553
2009,9,25,16,24.13299942,15.80185331
2009,9,25,17,26.71699905,18.20955706
2009,9,25,18,28.68300056,18.33914173
2009,9,25,19,29.78300095,18.33588108
2009,9,25,20,30.70000076,18.33285641
2009,9,25,21,31.43300056,18.33285641
2009,9,25,22,31.56699944,18.33285641
2009,9,25,23,31.45000076,18.33285641
2009,9,26,0,26.93300056,18.33285641
2009,9,26,1,21.88299942,18.33285641
2009,9,26,2,19.36700058,18.33285641
2009,9,26,3,18.60000038,18.33285641
2009,9,26,4,18.06699944,17.86116301
2009,9,26,5,17.39999962,17.34642254
2009,9,26,6,15.7329998,17.33519434
2009,9,26,7,18.66699982,16.09077634
2009,9,26,8,17.64999962,14.85243651
2009,9,26,9,17.68300056,17.33271503
2009,9,26,10,17.5170002,16.12625254
2009,9,26,11,17.7670002,16.11189406
2009,9,26,12,15.75,16.11058024
2009,9,26,13,16.91699982,16.11058024
2009,9,26,14,18.45000076,14.85020102
2009,9,26,15,19.95000076,15.99040991
2009,9,26,16,21.10000038,17.32609431
2009,9,26,17,22.4829998,18.16724256
2009,9,26,18,23.18300056,18.34200562
2009,9,26,19,25.2670002,18.33937435
2009,9,26,20,25.89999962,18.33285641
2009,9,26,21,26.28300095,18.33285641
2009,9,26,22,26.13299942,18.33285641
2009,9,26,23,25.13299942,18.33285641
2009,9,27,0,22.06699944,18.33285641
2009,9,27,1,19.46699905,18.33285641
2009,9,27,2,18.11700058,18.33285641
2009,9,27,3,17.38299942,17.87343168
2009,9,27,4,16.08300018,17.3275952
2009,9,27,5,15.38300037,16.08969514
2009,9,27,6,14.39999962,15.45738843
2009,9,27,7,13.33300018,14.57787611
2009,9,27,8,12.2329998,12.9480218
2009,9,27,9,12.25,12.84593813
2009,9,27,10,11.61699963,11.60038557
2009,9,27,11,10.96700001,11.38412864
2009,9,27,12,10.80000019,10.75442933
2009,9,27,13,11.39999962,9.983702376
2009,9,27,14,16.06699944,9.929672587
2009,9,27,15,19.45000076,10.64152253
2009,9,27,16,23.70000076,15.05369849
2009,9,27,17,27.58300018,17.67619097
2009,9,27,18,29.39999962,18.33522117
2009,9,27,19,30.5,18.33937435
2009,9,27,20,31.20000076,18.33285641
2009,9,27,21,31.46699905,18.33285641
2009,9,27,22,31.41699982,18.33285641
2009,9,27,23,30.93300056,18.33285641
2009,9,28,0,26.39999962,18.33285641
2009,9,28,1,21.68300056,18.33285641
2009,9,28,2,19.88299942,18.33285641
2009,9,28,3,18.66699982,18.33285641
2009,9,28,4,18.46699905,18.02085503
2009,9,28,5,16.4829998,17.34642254
2009,9,28,6,16.16699982,17.35294048
2009,9,28,7,18.08300018,15.92387325
2009,9,28,8,18.95000076,15.81070152
2009,9,28,9,18.4829998,17.30853208
2009,9,28,10,17.68300056,17.49215844
2009,9,28,11,17.20000076,17.35494335
2009,9,28,12,15.71700001,16.13399919
2009,9,28,13,17.08300018,16.02902027
2009,9,28,14,20,14.85020102
2009,9,28,15,20.29999924,15.99483737
2009,9,28,16,20.88299942,18.23762748
2009,9,28,17,21.45000076,18.31576151
